"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"41","CL49",237.178366970096,NA,0.040206498,NA,NA,NA,"LTR.Copia","1044hits","25.7%","0.231"
"42","CL51",116.526277025725,28.6775063963835,0.087036428,0.00314447981430601,"-34.3396299595615",0.0201850509564663,"Simple_repeat","1hits","0.00828%","0.223"
"43","CL52",157.771656017754,195.905860631936,0.006430407,0.00859724466197165,"-97.6617045360497",0.00709743070585139,"rRNA","2156hits","65.5%","0.213"
"44","CL54",85.2740504292691,8.58405367703272,0.0327770995,0.0247205386302022,"-1.77148305741996",0.391280728120238,"Simple_repeat","788hits","7.86%","0.212"
"45","CL56",49.5358554217952,21.9373299301701,0.0270646693333333,0.0176392233944843,"5.972386831405",-0.116058654626174,"LTR.Copia","679hits","20.3%","0.199"
"46","CL59",73.3326233225056,32.5575669857059,0.0115699346,0.00108261460285634,"94.7317344579969",-0.00731694805891345,"Simple_repeat","123hits","1.71%","0.191"
"47","CL60",36.961963669946,18.3484723350619,0.0722015906666667,0.00255770636204341,"-9.24636604473192",0.0749642808003327,"LTR.Gypsy","870hits","27.7%","0.19"
"48","CL61",31.4292042953655,35.8550209138818,0.047233596,0.019941788473603,"35.5893932601573",-0.0194762292094463,"LTR.Gypsy","66hits","1.42%","0.189"
"49","CL62",66.5551149655032,NA,0.00061947,NA,NA,NA,"DNA.CMC.EnSpm","63hits","1.75%","0.185"
"50","CL65",64.8401388121169,16.9928836215254,0.0495782945,0.0289054949603259,"-3.98358448426262",0.174000873659957,"Simple_repeat","369hits","6.07%","0.181"
"51","CL67",81.0751863965926,37.2315743791021,0.080969782,0.0138344925895514,"6.17997042457763",-0.112160274716415,"LINE.RTE.BovB","1513hits","49.2%","0.178"
"52","CL69",110.734688704003,NA,0.004140697,NA,NA,NA,"Simple_repeat","12hits","0.201%","0.174"
"53","CL70",112.546341331705,22.4953543073453,0.029375333,0.00376957210836986,"23.1830606792194",-0.0298988640952513,"LTR.Gypsy","1678hits","60.5%","0.173"
"54","CL71",85.2779129881731,16.9929366553427,0.0001959195,3.71874527293817e-05,"-2342.71173541378",0.000295873867058389,"LTR.Copia","142hits","4.23%","0.17"
