"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"71","CL169",444.897777777777,20.9735728041943,0.048389897,0.000136990625146395,"-149.508741624728",0.00463616490265008,"LTR.Copia","5549hits","69.9%","0.123"
"72","CL170",291.396111111111,NA,0.062103449,NA,NA,NA,"LTR.Gypsy","3189hits","37.8%","0.123"
"73","CL171",809.133333333333,NA,0.081189979,NA,NA,NA,"Simple_repeat","26hits","0.123%","0.121"
"74","CL173",872.872222222222,64.6531300264897,0.0384327495,0.00514814819607794,"-6.25417077871861",0.110829589578614,"LTR.Gypsy","3791hits","45.9%","0.119"
"75","CL175",294.733333333333,NA,0.054578402,NA,NA,NA,"LTR.Gypsy","416hits","4.3%","0.116"
"76","CL176",440.2225,54.2810520577854,0.079973656,0.0193890631016067,"2.76890233476814",-0.250332838344039,"LTR.Gypsy","99hits","0.985%","0.114"
"77","CL180",994.7,NA,0.053133728,NA,NA,NA,"Simple_repeat","147hits","1.14%","0.109"
"78","CL183",209.495833333333,94.3826489672769,0.05024243,0.00366727214190848,"55.2762876257063",-0.0125396840188232,"LTR.Gypsy","176hits","2.06%","0.109"
"79","CL184",390.002222222222,NA,0.080529173,NA,NA,NA,"LTR.Gypsy","3785hits","51.6%","0.108"
"80","CL186",471.461851851852,521.303937299471,0.0363293973333333,0.00984252350349169,"45.6654086638154",-0.01517882355248,"Simple_repeat","104hits","0.823%","0.106"
"81","CL192",322.146111111111,226.877993835976,0.03319334475,0.0154049383081777,"21.7227574420622",-0.0319088026650701,"LTR.Gypsy","4344hits","64.9%","0.099"
"82","CL193",254.751111111111,63.9415286122854,0.052098101,0.0020203174711718,"-3.21546284874227",0.215566844702022,"LTR.Copia","3067hits","45.4%","0.099"
"83","CL195",107.876111111111,17.0813428108627,0.0438898475,0.00547269465229337,"12.6184074351565",-0.0549314312540544,"LTR.Gypsy","1178hits","15.7%","0.098"
